Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides AGO2-APEX bR01,Peptides AGO2-BirA bR01,Peptides AGO2-BirA bR02,Peptides ctrl APEX bR01,Peptides ctrl BirA bR01,Peptides ctrl BirA bR02,Razor + unique peptides AGO2-APEX bR01,Razor + unique peptides AGO2-BirA bR01,Razor + unique peptides AGO2-BirA bR02,Razor + unique peptides ctrl APEX bR01,Razor + unique peptides ctrl BirA bR01,Razor + unique peptides ctrl BirA bR02,Unique peptides AGO2-APEX bR01,Unique peptides AGO2-BirA bR01,Unique peptides AGO2-BirA bR02,Unique peptides ctrl APEX bR01,Unique peptides ctrl BirA bR01,Unique peptides ctrl BirA bR02,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Identification type AGO2-APEX bR01,Identification type AGO2-BirA bR01,Identification type AGO2-BirA bR02,Identification type ctrl APEX bR01,Identification type ctrl BirA bR01,Identification type ctrl BirA bR02,Sequence coverage AGO2-APEX bR01 [%],Sequence coverage AGO2-BirA bR01 [%],Sequence coverage AGO2-BirA bR02 [%],Sequence coverage ctrl APEX bR01 [%],Sequence coverage ctrl BirA bR01 [%],Sequence coverage ctrl BirA bR02 [%],Intensity,Intensity AGO2-APEX bR01,Intensity AGO2-BirA bR01,Intensity AGO2-BirA bR02,Intensity ctrl APEX bR01,Intensity ctrl BirA bR01,Intensity ctrl BirA bR02,LFQ intensity AGO2-APEX bR01,LFQ intensity AGO2-BirA bR01,LFQ intensity AGO2-BirA bR02,LFQ intensity ctrl APEX bR01,LFQ intensity ctrl BirA bR01,LFQ intensity ctrl BirA bR02,MS/MS Count AGO2-APEX bR01,MS/MS Count AGO2-BirA bR01,MS/MS Count AGO2-BirA bR02,MS/MS Count ctrl APEX bR01,MS/MS Count ctrl BirA bR01,MS/MS Count ctrl BirA bR02,MS/MS Count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions
P78318,P78318,2,2,2,Immunoglobulin-binding protein 1,IGBP1,>sp|P78318|IGBP1_HUMAN Immunoglobulin-binding protein 1 OS=Homo sapiens GN=IGBP1 PE=1 SV=1,1,2,2,2,1,0,2,2,0,1,1,0,2,2,0,1,1,0,2,2,0,1,9.7,9.7,9.7,39.221,339,339,0,By matching,By matching,By MS/MS,By MS/MS,By matching,By matching,6.5,0,9.7,9.7,0,6.5,16880000,1595000,0,6685700,7940000,0,659110,0,0,5188800,3544100,0,0,0,0,1,2,0,0,3,,,,903,100;7190,True;True,102;7679,310;311;312;313;25577;25578,231;232;18561,232;18561,,
P78344-2;P78344;H0YCH5;H0Y3P2;D3DQV9;H0YD77;H0YEC5;H0YD99;H0YEN8;H0YDC0;H0YCF8,P78344-2;P78344;H0YCH5;H0Y3P2;D3DQV9;H0YD77,7;7;6;6;6;4;3;1;1;1;1,7;7;6;6;6;4;3;1;1;1;1,7;7;6;6;6;4;3;1;1;1;1,Eukaryotic translation initiation factor 4 gamma 2,EIF4G2,>sp|P78344-2|IF4G2_HUMAN Isoform 2 of Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens GN=EIF4G2;>sp|P78344|IF4G2_HUMAN Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens GN=EIF4G2 PE=1 SV=1;>tr|H0YCH5|H0YCH5_HUMAN Eukaryo,11,7,7,7,2,3,7,7,1,2,2,3,7,7,1,2,2,3,7,7,1,2,7.6,7.6,7.6,98.149,869,869;907;444;869;907;282;244;84;112;116;130,0,By matching,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,3.1,3.6,7.6,7.6,0.9,3,41375000,816920,2185600,24802000,12221000,435310,913930,1330300,2001700,18619000,4780500,0,2134300,0,1,8,5,0,0,14,,,,904,1747;3016;3913;3914;4249;5981;6406,True;True;True;True;True;True;True,1856;3198;4145;4146;4520;6412;6858,6015;6016;10564;10565;10566;10567;13791;13792;13793;13794;13795;13796;13797;14955;14956;14957;21245;21246;21247;21248;22647;22648,4295;4296;7580;7581;9771;9772;9773;9774;9775;10587;10588;15308;15309;16343,4296;7580;9772;9775;10588;15308;16343,515;516,1;398
P78527-2;P78527,P78527-2;P78527,6;6,6;6,6;6,DNA-dependent protein kinase catalytic subunit,PRKDC,>sp|P78527-2|PRKDC_HUMAN Isoform 2 of DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC;>sp|P78527|PRKDC_HUMAN DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3,2,6,6,6,2,0,1,6,0,0,2,0,1,6,0,0,2,0,1,6,0,0,1.8,1.8,1.8,465.5,4097,4097;4128,0,By matching,By matching,By matching,By MS/MS,By matching,By matching,0.9,0,0.2,1.8,0,0,25673000,1006300,0,933580,23733000,0,0,2373400,0,0,9370700,0,0,0,0,0,8,0,0,8,,,,905,94;678;857;2171;3926;4314,True;True;True;True;True;True,96;718;902;2298;4158;4620,297;298;2363;3004;7517;7518;13835;13836;15273,221;1709;1710;2177;2178;5368;9796;10807,221;1710;2177;5368;9796;10807,,
P80297;Q8N339;P13640-2;P04732;P02795;CON__P67983;P13640,P80297;Q8N339;P13640-2;P04732;P02795;CON__P67983;P13640,2;1;1;1;1;1;1,2;1;1;1;1;1;1,2;1;1;1;1;1;1,Metallothionein-1X;Metallothionein-1M;Metallothionein-1G;Metallothionein-1E;Metallothionein-2,MT1X;MT1M;MT1G;MT1E;MT2A,>sp|P80297|MT1X_HUMAN Metallothionein-1X OS=Homo sapiens GN=MT1X PE=1 SV=1;>sp|Q8N339|MT1M_HUMAN Metallothionein-1M OS=Homo sapiens GN=MT1M PE=2 SV=2;>sp|P13640-2|MT1G_HUMAN Isoform 2 of Metallothionein-1G OS=Homo sapiens GN=MT1G;>sp|P04732|MT1E_HUMAN Meta,7,2,2,2,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0,49.2,49.2,49.2,6.0683,61,61;61;61;61;61;61;62,0,By MS/MS,By MS/MS,By matching,By MS/MS,By MS/MS,By matching,49.2,49.2,0,49.2,49.2,0,12087000,3788900,2069800,0,4572000,1656300,0,2696700,2182600,0,2253300,1179800,0,1,2,0,2,1,0,6,,,+,906,979;5189,True;True,1031;5586,3461;3462;3463;3464;18463;18464;18465;18466,2502;2503;13251;13252;13253;13254,2502;13252,,
P81605;P81605-2,P81605;P81605-2,4;4,4;4,4;4,Dermcidin;Survival-promoting peptide;DCD-1,DCD,>sp|P81605|DCD_HUMAN Dermcidin OS=Homo sapiens GN=DCD PE=1 SV=2;>sp|P81605-2|DCD_HUMAN Isoform 2 of Dermcidin OS=Homo sapiens GN=DCD,2,4,4,4,0,3,0,1,4,0,0,3,0,1,4,0,0,3,0,1,4,0,30.9,30.9,30.9,11.284,110,110;121,0,By matching,By MS/MS,By matching,By matching,By MS/MS,By matching,0,24.5,0,11.8,30.9,0,90566000,0,42494000,0,1101500,46971000,0,0,31839000,0,0,35843000,0,0,4,0,0,4,0,8,,,,907,2047;3605;5763;5764,True;True;True;True,2167;3822;6188;6189,7106;12718;12719;12720;20511;20512;20513;20514;20515;20516;20517,5104;9082;9083;14753;14754;14755;14756;14757,5104;9082;14755;14757,,
P84101-4;P84101;F8WBN3;B9A031;C9JQZ0;B8ZZY7;F8WBV6;P84101-3;P84101-2,P84101-4;P84101;F8WBN3;B9A031;C9JQZ0;B8ZZY7;F8WBV6;P84101-3;P84101-2,3;3;2;2;2;2;2;2;2,3;3;2;2;2;2;2;2;2,3;3;2;2;2;2;2;2;2,Small EDRK-rich factor 2,SERF2,>sp|P84101-4|SERF2_HUMAN Isoform 4 of Small EDRK-rich factor 2 OS=Homo sapiens GN=SERF2;>sp|P84101|SERF2_HUMAN Small EDRK-rich factor 2 OS=Homo sapiens GN=SERF2 PE=1 SV=1;>tr|F8WBN3|F8WBN3_HUMAN Small EDRK-rich factor 2 OS=Homo sapiens GN=SERF2 PE=1 SV=1;>,9,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,42.2,42.2,42.2,5.2159,45,45;59;40;42;71;83;108;133;170,0,By MS/MS,By MS/MS,By MS/MS,By matching,By MS/MS,By MS/MS,24.4,42.2,42.2,42.2,42.2,42.2,60856000,8820200,5221100,10976000,8919700,18319000,8599300,6103000,4231300,5048300,4539900,12462000,16504000,1,1,1,0,2,2,7,,,,908,1164;4892;5044,True;True;True,1238;5275;5433,4056;4057;4058;4059;4060;17420;17421;17422;17423;17424;17425;17953;17954;17955;17956;17957;17958;17959,2923;2924;12482;12483;12846;12847;12848;12849,2924;12483;12846,517,30
P84103-2;P84103;A0A087X2D0,P84103-2;P84103;A0A087X2D0,14;14;10,14;14;10,14;14;10,Serine/arginine-rich splicing factor 3,SRSF3,>sp|P84103-2|SRSF3_HUMAN Isoform 2 of Serine/arginine-rich splicing factor 3 OS=Homo sapiens GN=SRSF3;>sp|P84103|SRSF3_HUMAN Serine/arginine-rich splicing factor 3 OS=Homo sapiens GN=SRSF3 PE=1 SV=1;>tr|A0A087X2D0|A0A087X2D0_HUMAN Serine/arginine-rich-spli,3,14,14,14,7,6,5,10,14,3,7,6,5,10,14,3,7,6,5,10,14,3,64.5,64.5,64.5,14.203,124,124;164;95,0,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,59.7,59.7,57.3,59.7,64.5,27.4,1375500000,107270000,51881000,38821000,207760000,940560000,29178000,105710000,42665000,37149000,95732000,483460000,66932000,6,4,3,5,23,2,43,,,,909,266;1035;1036;1162;1163;4285;4639;4640;6592;6978;6979;7119;7120;7121,True;True;True;True;True;True;True;True;True;True;True;True;True;True,275;1094;1095;1236;1237;4576;4577;4578;5010;5011;7050;7457;7458;7604;7605;7606,853;854;855;856;857;858;3633;3634;3635;4049;4050;4051;4052;4053;4054;4055;15119;15120;15121;15122;15123;15124;15125;15126;16552;16553;16554;16555;16556;16557;16558;16559;16560;16561;23355;23356;24796;24797;24798;24799;24800;24801;24802;24803;25310;25311;25312;25313;25314;25315;25316;25317;25318;25319;25320;25321,637;638;639;640;641;642;643;2624;2625;2626;2918;2919;2920;2921;2922;10699;10700;10701;10702;11829;11830;11831;11832;11833;16954;17995;17996;17997;17998;17999;18000;18374;18375;18376;18377;18378;18379;18380;18381;18382;18383;18384;18385,643;2624;2626;2918;2920;10699;11829;11832;16954;17996;17999;18374;18376;18385,518,1
P98179,P98179,1,1,1,Putative RNA-binding protein 3,RBM3,>sp|P98179|RBM3_HUMAN Putative RNA-binding protein 3 OS=Homo sapiens GN=RBM3 PE=1 SV=1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,11.5,11.5,11.5,17.17,157,157,0,By MS/MS,By matching,By matching,By MS/MS,By matching,By matching,11.5,0,0,11.5,0,0,20259000,3423500,0,0,16835000,0,0,0,0,0,4164100,0,0,1,0,0,2,0,0,3,,,,910,1905,TRUE,2019;2020,6572;6573;6574,4744;4745;4746,4744,519,64
Q00535;Q00535-2,Q00535;Q00535-2,3;2,2;1,2;1,Cyclin-dependent kinase 5,CDK5,>sp|Q00535|CDK5_HUMAN Cyclin-dependent-like kinase 5 OS=Homo sapiens GN=CDK5 PE=1 SV=3;>sp|Q00535-2|CDK5_HUMAN Isoform 2 of Cyclin-dependent-like kinase 5 OS=Homo sapiens GN=CDK5,2,3,2,2,0,0,0,3,1,0,0,0,0,2,1,0,0,0,0,2,1,0,13.7,11,11,33.304,292,292;260,0.0092025,By matching,By matching,By matching,By MS/MS,By MS/MS,By matching,0,0,0,13.7,5.5,0,5427800,0,0,0,3793600,1634100,0,0,0,0,1740200,0,0,0,0,0,1,1,0,2,,,,911,3355;4726;6970,False;True;True,3558;5103;7449,11808;16898;24768;24769,8407;12114;17975,8407;12114;17975,,
Q00688,Q00688,2,2,2,Peptidyl-prolyl cis-trans isomerase FKBP3,FKBP3,>sp|Q00688|FKBP3_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens GN=FKBP3 PE=1 SV=1,1,2,2,2,0,2,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,1,14.3,14.3,14.3,25.177,224,224,0,By matching,By MS/MS,By matching,By matching,By matching,By MS/MS,0,14.3,0,0,0,6.2,6432800,0,4411600,0,0,0,2021200,0,4411600,0,0,0,0,0,3,0,0,0,1,4,,,,912,5232;5992,True;True,5632;6424,18581;18582;18583;21296,13332;13333;13334;15342,13334;15342,,
Q00839-2;Q00839;Q5RI18,Q00839-2;Q00839,21;21;1,21;21;1,21;21;1,Heterogeneous nuclear ribonucleoprotein U,HNRNPU,>sp|Q00839-2|HNRPU_HUMAN Isoform Short of Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU;>sp|Q00839|HNRPU_HUMAN Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU PE=1 SV=6,3,21,21,21,11,10,14,21,3,11,11,10,14,21,3,11,11,10,14,21,3,11,24.3,24.3,24.3,88.979,806,806;825;242,0,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By matching,By MS/MS,18.2,9.1,19,24.3,3.8,16.7,491160000,39370000,18843000,96032000,306500000,3707200,26708000,34112000,26226000,58100000,126550000,6860700,45161000,4,3,10,30,0,4,51,,,,913,251;654;944;1134;1229;1636;1814;2245;2260;3013;3258;3901;3998;4204;4205;4345;4487;4488;5747;5793;5794,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,258;692;993;1204;1306;1741;1925;2375;2393;3195;3456;4131;4132;4232;4457;4458;4459;4663;4845;4846;6172;6218;6219,808;809;2294;2295;2296;3331;3332;3333;3334;3335;3336;3337;3338;3924;3925;3926;4302;4303;4304;4305;5660;5661;5662;6292;7784;7834;7835;7836;7837;7838;10551;10552;10553;11471;11472;11473;11474;11475;11476;13728;13729;13730;13731;13732;13733;13734;14066;14067;14068;14746;14747;14748;14749;14750;14751;14752;14753;14754;14755;15397;15398;15399;15400;16045;16046;16047;16048;16049;16050;16051;16052;16053;16054;16055;20442;20443;20444;20445;20446;20447;20448;20449;20450;20596;20597;20598;20599;20600;20601;20602;20603,602;1665;1666;2423;2424;2425;2426;2837;3109;4032;4033;4539;5539;5583;5584;7571;8183;8184;9733;9734;9735;9736;9737;9738;9739;9948;9949;10424;10425;10426;10427;10428;10429;10885;10886;11448;11449;11450;11451;11452;11453;11454;11455;14699;14700;14701;14702;14703;14704;14811;14812,602;1666;2425;2837;3109;4033;4539;5539;5584;7571;8184;9736;9948;10427;10429;10885;11452;11454;14699;14811;14812,520;521;522;523,53;518;519;574
Q01081;Q01081-4;Q01081-2;Q8WU68-3;Q8WU68,Q01081;Q01081-4;Q01081-2,5;4;4;1;1,5;4;4;1;1,5;4;4;1;1,Splicing factor U2AF 35 kDa subunit,U2AF1,>sp|Q01081|U2AF1_HUMAN Splicing factor U2AF 35 kDa subunit OS=Homo sapiens GN=U2AF1 PE=1 SV=3;>sp|Q01081-4|U2AF1_HUMAN Isoform 4 of Splicing factor U2AF 35 kDa subunit OS=Homo sapiens GN=U2AF1;>sp|Q01081-2|U2AF1_HUMAN Isoform 2 of Splicing factor U2AF 35 k,5,5,5,5,2,0,3,3,4,3,2,0,3,3,4,3,2,0,3,3,4,3,30.8,30.8,30.8,27.872,240,240;167;240;181;220,0,By MS/MS,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,15.8,0,21.2,21.2,25,19.6,68782000,10499000,0,9179500,21724000,16810000,10569000,9988000,0,8999000,6679200,16508000,10307000,1,0,2,3,4,1,11,,,,914,1287;1943;4641;4870;7197,True;True;True;True;True,1369;2059;5012;5252;7686,4503;6710;6711;6712;6713;16562;16563;16564;17347;17348;25593;25594;25595;25596;25597,3267;4843;4844;4845;4846;11834;11835;11836;12439;18571;18572,3267;4845;11834;12439;18571,524;525,99;160
Q01105-3;Q01105-4;Q01105-2;Q01105;A0A087X027;P0DME0,Q01105-3;Q01105-4;Q01105-2;Q01105;A0A087X027;P0DME0,4;4;4;4;3;3,4;4;4;4;3;3,4;4;4;4;3;3,Protein SET,SET,>sp|Q01105-3|SET_HUMAN Isoform 3 of Protein SET OS=Homo sapiens GN=SET;>sp|Q01105-4|SET_HUMAN Isoform 4 of Protein SET OS=Homo sapiens GN=SET;>sp|Q01105-2|SET_HUMAN Isoform 2 of Protein SET OS=Homo sapiens GN=SET;>sp|Q01105|SET_HUMAN Protein SET OS=Homo sa,6,4,4,4,1,4,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,16.6,16.6,16.6,30.992,265,265;268;277;290;292;302,0,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,By matching,3.4,16.6,3.4,3.4,3.4,3.4,22184000,1894900,14960000,1695800,1439400,1330600,862610,0,14960000,0,0,0,0,2,4,1,0,0,0,7,,,,915,1303;3983;5367;6870,True;True;True;True,1388;4217;5775;7343,4550;14004;14005;14006;14007;14008;14009;19093;24400,3302;9900;9901;9902;9903;13713;17722,3302;9900;13713;17722,,
Q01469;I6L8B7;A8MUU1,Q01469;I6L8B7,4;3;1,4;3;1,4;3;1,"Fatty acid-binding protein, epidermal",FABP5,">sp|Q01469|FABP5_HUMAN Fatty acid-binding protein, epidermal OS=Homo sapiens GN=FABP5 PE=1 SV=3;>tr|I6L8B7|I6L8B7_HUMAN Fatty acid-binding protein, epidermal OS=Homo sapiens GN=FABP5 PE=1 SV=1",3,4,4,4,0,4,0,1,3,0,0,4,0,1,3,0,0,4,0,1,3,0,40.7,40.7,40.7,15.164,135,135;101;101,0,By matching,By MS/MS,By matching,By matching,By MS/MS,By matching,0,40.7,0,6.7,30.4,0,27094000,0,15962000,0,777770,10354000,0,0,14810000,0,0,6027700,0,0,4,0,0,3,0,7,,,,916,862;4150;4617;6374,True;True;True;True,907;4390;4984;6824,3017;3018;3019;14584;14585;16474;16475;22524;22525,2187;2188;10308;10309;11744;16247;16248,2187;10308;11744;16247,526,122
Q01518-2;Q01518;Q5T0R8;Q5T0S3;Q5T0R7;Q5T0R6;Q5T0R5;Q5T0R4;Q5T0R3;Q5T0R2;Q5T0R1;Q5T0R9,Q01518-2;Q01518,3;3;1;1;1;1;1;1;1;1;1;1,3;3;1;1;1;1;1;1;1;1;1;1,3;3;1;1;1;1;1;1;1;1;1;1,Adenylyl cyclase-associated protein 1,CAP1,>sp|Q01518-2|CAP1_HUMAN Isoform 2 of Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1;>sp|Q01518|CAP1_HUMAN Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1 PE=1 SV=5,12,3,3,3,2,0,1,3,0,0,2,0,1,3,0,0,2,0,1,3,0,0,7,7,7,51.83,474,474;475;58;145;174;176;180;202;203;208;215;263,0,By MS/MS,By matching,By matching,By MS/MS,By matching,By matching,4.6,0,1.9,7,0,0,17245000,3928200,0,955410,12361000,0,0,4417800,0,0,4599600,0,0,1,0,0,3,0,0,4,,,,917,185;2032;4688,True;True;True,189;190;2151;5061,592;593;594;7024;7025;16755,442;443;5056;12001,443;5056;12001,527,4
Q01650,Q01650,2,2,2,Large neutral amino acids transporter small subunit 1,SLC7A5,>sp|Q01650|LAT1_HUMAN Large neutral amino acids transporter small subunit 1 OS=Homo sapiens GN=SLC7A5 PE=1 SV=2,1,2,2,2,2,0,1,2,0,0,2,0,1,2,0,0,2,0,1,2,0,0,3.2,3.2,3.2,55.01,507,507,0,By matching,By matching,By matching,By MS/MS,By matching,By matching,3.2,0,3.2,3.2,0,0,4366500,1614800,0,286780,2464900,0,0,1370100,0,0,1136500,0,0,0,0,0,2,0,0,2,,,,918,468;469,True;True,483;484,1558;1559;1560;1561;1562,1127;1128,1127;1128,,
Q01658,Q01658,1,1,1,Protein Dr1,DR1,>sp|Q01658|NC2B_HUMAN Protein Dr1 OS=Homo sapiens GN=DR1 PE=1 SV=1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8,8,8,19.443,176,176,0.0049917,By matching,By MS/MS,By matching,By matching,By matching,By matching,0,8,0,0,0,0,2734500,0,2734500,0,0,0,0,0,2734500,0,0,0,0,0,1,0,0,0,0,1,,,,919,803,TRUE,846,2835,2059,2059,,
Q01804;Q01804-5;Q01804-3,Q01804;Q01804-5;Q01804-3,4;3;3,4;3;3,4;3;3,OTU domain-containing protein 4,OTUD4,>sp|Q01804|OTUD4_HUMAN OTU domain-containing protein 4 OS=Homo sapiens GN=OTUD4 PE=1 SV=4;>sp|Q01804-5|OTUD4_HUMAN Isoform 2 of OTU domain-containing protein 4 OS=Homo sapiens GN=OTUD4;>sp|Q01804-3|OTUD4_HUMAN Isoform 3 of OTU domain-containing protein 4 O,3,4,4,4,1,2,3,3,0,0,1,2,3,3,0,0,1,2,3,3,0,0,6.8,6.8,6.8,124.04,1114,1114;1048;1049,0,By matching,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,2.5,2.9,5.7,5.7,0,0,11739000,785190,1298800,4269700,5385100,0,0,0,0,3238200,2483100,0,0,0,1,3,2,0,0,6,,,,920,871;1883;5966;6951,True;True;True;True,916;1997;6397;7430,3048;6514;6515;6516;21195;21196;24707;24708;24709,2210;4706;4707;15269;15270;17931,2210;4706;15270;17931,,
Q01813-2;Q01813;B1APP6;V9GYV7;Q5VSR5,Q01813-2;Q01813;B1APP6,3;3;2;1;1,3;3;2;1;1,3;3;2;1;1,6-phosphofructokinase type C,PFKP,">sp|Q01813-2|PFKAP_HUMAN Isoform 2 of ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens GN=PFKP;>sp|Q01813|PFKAP_HUMAN ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens GN=PFKP PE=1 SV=2;>tr|B1APP6|B1APP6_HUMAN ATP-depende",5,3,3,3,2,1,1,3,1,1,2,1,1,3,1,1,2,1,1,3,1,1,4,4,4,85.315,776,776;784;240;113;210,0,By matching,By MS/MS,By matching,By MS/MS,By matching,By matching,2.6,1.4,1.4,4,1.4,1.4,19170000,1259600,1988300,1050000,11754000,2187500,930820,2227300,2150200,0,4075800,0,0,0,1,0,3,0,0,4,,,,921,21;5184;5261,True;True;True,21;5581;5661,73;74;18454;18455;18670;18671;18672;18673;18674;18675;18676;18677,48;13245;13402;13403,48;13245;13402,,
Q01968-2;Q01968,Q01968-2;Q01968,1;1,1;1,1;1,Inositol polyphosphate 5-phosphatase OCRL-1,OCRL,>sp|Q01968-2|OCRL_HUMAN Isoform B of Inositol polyphosphate 5-phosphatase OCRL-1 OS=Homo sapiens GN=OCRL;>sp|Q01968|OCRL_HUMAN Inositol polyphosphate 5-phosphatase OCRL-1 OS=Homo sapiens GN=OCRL PE=1 SV=3,2,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1.2,1.2,1.2,103.23,893,893;901,0,By matching,By matching,By MS/MS,By MS/MS,By matching,By matching,1.2,0,1.2,1.2,0,0,9751400,1355100,0,3420600,4975600,0,0,0,0,0,2282400,0,0,0,0,1,1,0,0,2,,,,922,3793,TRUE,4014,13377;13378;13379,9507;9508,9508,,
Q02413;Q02413-2;P32926;Q86SJ6;Q86SJ6-2,Q02413,15;2;1;1;1,15;2;1;1;1,15;2;1;1;1,Desmoglein-1,DSG1,>sp|Q02413|DSG1_HUMAN Desmoglein-1 OS=Homo sapiens GN=DSG1 PE=1 SV=2,5,15,15,15,0,13,2,0,12,1,0,13,2,0,12,1,0,13,2,0,12,1,23,23,23,113.75,1049,1049;408;999;1040;1059,0,By matching,By MS/MS,By matching,By matching,By MS/MS,By matching,0,19.7,2.6,0,17.2,1.3,190960000,0,58350000,6303700,0,125830000,470120,0,52067000,0,0,75969000,0,0,9,0,0,15,0,24,,,,923,560;1316;1506;2153;2616;2657;2658;2869;4564;5785;6087;6226;6458;6717;7353,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,583;1402;1605;2279;2774;2820;2821;3041;4929;6210;6523;6670;6912;7182;7848,1869;1870;4600;4601;5240;5241;7477;7478;9026;9027;9028;9029;9030;9213;9214;9215;9216;9217;10048;10049;16289;20580;21569;21570;22073;22074;22878;23864;26135;26136;26137,1344;1345;1346;1347;3339;3763;5342;5343;6447;6448;6449;6450;6589;6590;7200;11623;14799;15534;15902;15903;16575;17347;18965;18966;18967,1346;3339;3763;5343;6449;6589;6590;7200;11623;14799;15534;15903;16575;17347;18966,528;529;530;531;532;533;534,133;208;221;249;398;425;455
Q02790;H0YFG2,Q02790,15;6,15;6,15;6,"Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed",FKBP4,>sp|Q02790|FKBP4_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens GN=FKBP4 PE=1 SV=3,2,15,15,15,12,7,7,15,1,1,12,7,7,15,1,1,12,7,7,15,1,1,29.4,29.4,29.4,51.804,459,459;84,0,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,25.7,15,17.6,29.4,3.3,2.6,354960000,109190000,21030000,22966000,200900000,607110,268780,80877000,36541000,20607000,85679000,0,0,8,5,2,17,0,0,32,,,,924,172;508;1369;1571;1874;1876;2212;3221;3424;3904;3905;4927;6281;6854;6855,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,176;526;1459;1672;1988;1990;2341;3417;3630;4135;4136;5312;6729;7327;7328,557;558;559;560;1701;1702;1703;1704;4785;5449;5450;5451;6490;6491;6492;6494;6495;7676;7677;11328;11329;12046;12047;12048;12049;13753;13754;13755;13756;13757;17527;17528;17529;17530;17531;17532;17533;17534;22267;22268;22269;22270;24339;24340;24341;24342;24343;24344;24345;24346;24347,419;420;1234;1235;3466;3889;3890;3891;4692;4694;5475;8091;8092;8622;8623;8624;9749;9750;9751;9752;12553;12554;12555;12556;12557;12558;12559;16057;16058;16059;16060;16061;17666;17667;17668;17669,419;1234;3466;3891;4692;4694;5475;8091;8624;9751;9752;12559;16058;17666;17668,,
Q02878;F8VR69;F8VZ45;U3KQR5,Q02878,6;2;2;2,6;2;2;2,6;2;2;2,60S ribosomal protein L6,RPL6,>sp|Q02878|RL6_HUMAN 60S ribosomal protein L6 OS=Homo sapiens GN=RPL6 PE=1 SV=3,4,6,6,6,6,4,6,6,0,3,6,4,6,6,0,3,6,4,6,6,0,3,17.4,17.4,17.4,32.728,288,288;64;159;160,0,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By matching,By MS/MS,17.4,11.8,17.4,17.4,0,13.2,104130000,28360000,6484200,24525000,39522000,0,5239100,19446000,9130500,16301000,14372000,0,16762000,3,1,4,6,0,1,15,,,,925,2676;5885;5886;6117;7366;7367,True;True;True;True;True;True,2839;6312;6313;6554;7861;7862,9274;9275;9276;9277;9278;20928;20929;20930;20931;20932;20933;20934;21682;21683;21684;21685;26179;26180;26181;26182;26183;26184;26185;26186;26187;26188,6625;6626;6627;6628;15083;15084;15085;15086;15626;18993;18994;18995;18996;18997;18998,6628;15083;15086;15626;18995;18998,,
